seed,completed,t_leak,t_first_det,t_consensus,t_reported,patrol_steps,investigate_steps,fuse_steps,total_steps,err_x,err_y,err,in_tolerance_50,in_tolerance_25,lam2_mean,lam2_min,lam2_zero_pct,comm_radius,exploration,n_degraded,robots_alive_end
2000,True,199,468,656,686,269,188,30,487,24.997883562775314,41.24396202046378,48.22819285193601,True,False,1.0158876046616991,0.0,27.926078028747433,500,lloyd,0,5
2001,True,199,269,411,441,70,142,30,242,33.7923854834404,7.46262259222928,34.60658972819316,True,False,1.617486184074082,0.3819660112501052,0.0,500,lloyd,0,5
2002,True,199,312,430,466,113,118,36,267,5.7419953918856095,9.82050747326005,11.375978116750757,True,True,1.306372013627865,0.5188056959079843,0.0,500,lloyd,0,5
2003,True,199,420,488,518,221,68,30,319,19.509832866710894,-25.015807075454546,31.72418922720255,True,False,1.698031367244961,0.9999999999999993,0.0,500,lloyd,0,5
2004,True,199,204,262,292,5,58,30,93,1.9693283511426216,20.651532168387405,20.74521716098807,True,True,3.7634408602150518,2.0,0.0,500,lloyd,0,5
2005,True,199,260,458,488,61,198,30,289,8.83960513795202,-18.563564593359047,20.560752646893093,True,True,0.5514697897290668,0.0,48.44290657439446,500,lloyd,0,5
2006,True,199,294,424,454,95,130,30,255,14.670837693144136,11.312192447756445,18.52563565963815,True,True,2.039178419238252,0.0,1.9607843137254901,500,lloyd,0,5
2007,True,199,424,577,607,225,153,30,408,-0.9834688832536358,26.952695984586285,26.97063276754666,True,False,1.477269191226237,0.0,16.176470588235293,500,lloyd,0,5
2008,True,199,245,285,315,46,40,30,116,0.5606835655212308,-5.553089947693991,5.581323680617856,True,True,0.6758554057989274,6.175615574477433e-16,2.586206896551724,500,lloyd,0,5
2009,True,199,200,316,346,1,116,30,147,8.638417741639728,13.611725424782719,16.12145558312748,True,True,4.056956346952585,1.585786437626906,0.0,500,lloyd,0,5
2010,True,199,254,280,310,55,26,30,111,23.406317108880444,-2.4133598362425346,23.530405570254374,True,True,1.6977360490790931,1.5857864376269053,0.0,500,lloyd,0,5
2011,True,199,458,557,587,259,99,30,388,35.53433072335821,-5.242752380451321,35.91900767671244,True,False,1.426844463571932,0.0,12.371134020618557,500,lloyd,0,5
2012,True,199,232,419,449,33,187,30,250,-14.242990185256986,1.1304518238329706,14.287781169353558,True,True,1.5310472322113176,4.440892098500626e-16,26.8,500,lloyd,0,5
2013,True,199,200,301,337,1,101,36,138,21.712257122604683,9.317189580399884,23.62693655629544,True,True,0.7595630205104037,0.0,18.115942028985508,500,lloyd,0,5
