seed,completed,t_leak,t_first_det,t_consensus,t_reported,patrol_steps,investigate_steps,fuse_steps,total_steps,err_x,err_y,err,in_tolerance_50,in_tolerance_25,lam2_mean,lam2_min,lam2_zero_pct,comm_radius,exploration,n_degraded,robots_alive_end
4000,True,199,362,445,475,163,83,30,276,13.211430675888437,5.702535430025591,14.389607737339583,True,True,3.1364486486476357,0.8299135133739659,0.0,500,lloyd,0,5
4000,True,199,200,306,336,1,106,30,137,-0.3723473950084326,-0.626871342162076,0.7291160827972788,True,True,4.065404733935146,0.8299135133739661,0.0,500,random_walk,0,5
4001,True,199,219,307,339,20,88,32,140,9.920187164405775,6.138611992540859,11.665876331069498,True,True,3.9477592250072493,1.5857864376269046,0.0,500,lloyd,0,5
4001,True,199,328,390,430,129,62,40,231,15.48670997838343,0.05045310753018839,15.486792162052812,True,True,3.0065790877040883,1.5857864376269042,0.0,500,random_walk,0,5
4002,True,199,203,304,334,4,101,30,135,2.224330619037346,-0.3193924697707189,2.247144466324607,True,True,3.8402330185561175,1.585786437626905,0.0,500,lloyd,0,5
4002,True,199,291,522,552,92,231,30,353,0.1301875731662676,-3.314564650648009,3.317120381827027,True,True,1.591095723306084,6.175615574477433e-16,32.577903682719544,500,random_walk,0,5
4003,True,199,235,343,380,36,108,37,181,9.48394756676106,1.2282504804221048,9.563151190466987,True,True,3.7457889872440866,0.9999999999999993,0.0,500,lloyd,0,5
4003,True,199,354,468,510,155,114,42,311,12.003962476438005,13.367714496293644,17.96638266291105,True,True,3.556743364172391,1.5857864376269042,0.0,500,random_walk,0,5
4004,True,199,386,561,591,187,175,30,392,8.18679628978316,16.351540440731142,18.28651164862433,True,True,1.285545874545964,0.9999999999999999,0.0,500,lloyd,0,5
4004,True,199,213,545,575,14,332,30,376,3.30831762665548,-0.41510238753910755,3.3342578650998207,True,True,0.5417712966710704,0.0,40.95744680851064,500,random_walk,0,5
4005,True,199,766,836,866,567,70,30,667,6.634151832542443,1.3526900908585162,6.770652924137603,True,True,1.3960510583209673,0.3819660112501052,0.0,500,lloyd,0,5
4005,True,199,203,256,286,4,53,30,87,4.478644436142076,0.48722206501417986,4.505068404144721,True,True,4.999999999999996,4.999999999999996,0.0,500,random_walk,0,5
4006,True,199,233,345,389,34,112,44,190,16.071429562829394,1.262466963664565,16.120938900303887,True,True,3.3671189365642076,0.8299135133739662,0.0,500,lloyd,0,5
4006,True,199,200,284,314,1,84,30,115,13.013197520676158,3.979348384391642,13.608031572438847,True,True,4.999999999999995,4.999999999999996,0.0,500,random_walk,0,5
4007,True,199,556,709,739,357,153,30,540,4.028717609041905,4.215077868468768,5.830732973705754,True,True,1.7266984149223747,0.0,11.851851851851851,500,lloyd,0,5
4007,True,199,777,883,913,578,106,30,714,15.872445964671329,15.445315809891284,22.147061235493272,True,True,1.8107277946577756,3.2612801348363973e-16,2.8011204481792715,500,random_walk,0,5
4008,True,199,356,521,551,157,165,30,352,4.753432626250174,-5.1108783225444085,6.979699059426128,True,True,2.631775439593179,0.5188056959079844,0.0,500,lloyd,0,5
4008,True,199,624,736,771,425,112,35,572,7.742684426525102,-7.794599487097514,10.986580145478172,True,True,2.4744151054669468,0.9999999999999991,0.0,500,random_walk,0,5
4009,True,199,200,243,273,1,43,30,74,4.795315252595117,3.5286427513134697,5.953685248496805,True,True,1.4051281227059977,4.801220887903088e-16,13.513513513513514,500,lloyd,0,5
4009,True,199,446,548,584,247,102,36,385,6.750281154495553,11.923498248540994,13.701682602793644,True,True,3.348051948051947,1.0000000000000009,0.0,500,random_walk,0,5
4010,True,199,281,400,430,82,119,30,231,-2.969623363213998,-4.759461324399297,5.609913993796975,True,True,0.29038766288074047,-4.3549927501688853e-17,63.2034632034632,500,lloyd,0,5
4010,True,199,524,674,704,325,150,30,505,3.1453176726427046,-5.794568940546753,6.593182271755245,True,True,3.004430848266278,0.8299135133739662,0.0,500,random_walk,0,5
4011,True,199,201,366,396,2,165,30,197,-0.07649058383753982,-3.8084076989150475,3.809175765250432,True,True,3.6649746192893367,0.9999999999999992,0.0,500,lloyd,0,5
4011,True,199,311,433,463,112,122,30,264,4.494133670059796,-3.828763299882297,5.903953408597556,True,True,3.0821450435644495,1.5857864376269044,0.0,500,random_walk,0,5
4012,True,199,241,371,401,42,130,30,202,8.96739144371935,-2.0272396216500965,9.19368314596925,True,True,2.8498920062492163,0.5188056959079839,0.0,500,lloyd,0,5
4012,True,199,200,209,239,1,9,30,40,-2.4974425780417278,1.7299879260596924,3.038104286381234,True,True,4.949999999999996,3.000000000000001,0.0,500,random_walk,0,5
4013,True,199,211,308,338,12,97,30,139,1.452646593069744,-2.7067727710872873,3.0719376553987363,True,True,0.8252666762388555,0.5188056959079834,0.0,500,lloyd,0,5
4013,True,199,266,361,391,67,95,30,192,0.9972057245560109,4.64921413635949,4.754956502725571,True,True,0.8222758894429653,0.5188056959079846,0.0,500,random_walk,0,5
4014,True,199,384,656,690,185,272,34,491,12.390375772310477,-6.2769463413201265,13.889617242777808,True,True,1.0760884242830717,0.5188056959079845,0.0,500,lloyd,0,5
4014,True,199,204,404,434,5,200,30,235,4.814379436904829,-13.225324067884173,14.074354197015522,True,True,3.671821621686073,0.8299135133739661,0.0,500,random_walk,0,5
4015,True,199,417,607,637,218,190,30,438,-5.572948014270651,1.2197761850247275,5.704875415932996,True,True,0.8474580459309861,0.0,13.013698630136986,500,lloyd,0,5
4015,True,199,594,660,696,395,66,36,497,13.53698658682356,18.94548198736163,23.284786741245558,True,True,3.444668008048288,0.9999999999999998,0.0,500,random_walk,0,5
4016,True,199,644,777,807,445,133,30,608,6.879467144313082,5.15551115816703,8.596881032773918,True,True,1.6899855483431871,0.0,15.789473684210526,500,lloyd,0,5
4016,True,199,200,228,258,1,28,30,59,0.7281540288183805,-1.7297862937700756,1.8767975148638847,True,True,4.9999999999999964,4.999999999999996,0.0,500,random_walk,0,5
4017,True,199,362,464,494,163,102,30,295,5.816133131509673,-1.0671951663190384,5.913231783590022,True,True,3.1411270089215333,0.9999999999999993,0.0,500,lloyd,0,5
4017,True,199,204,265,295,5,61,30,96,10.651083962598364,-4.427461349041721,11.534643625859378,True,True,1.3516391595091737,0.9999999999999993,0.0,500,random_walk,0,5
4018,True,199,332,443,473,133,111,30,274,-8.334759018593786,-3.210657706112528,8.931770866062912,True,True,3.0102109270278388,0.8299135133739647,0.0,500,lloyd,0,5
4018,True,199,1221,1390,1420,1022,169,30,1221,-18.48520929204983,1.9472433409491714,18.5874882434329,True,True,3.948896830778318,0.9999999999999999,0.0,500,random_walk,0,5
4019,True,199,200,299,338,1,99,39,139,24.001321823040826,5.467645390903698,24.61622626183482,True,True,3.4244604316546736,1.0000000000000009,0.0,500,lloyd,0,5
4019,True,199,223,304,334,24,81,30,135,7.779291108084863,-14.067008351034247,16.074765755444012,True,True,3.5037037037037018,0.0,2.962962962962963,500,random_walk,0,5
4020,True,199,222,385,415,23,163,30,216,-0.3275568753626885,0.3626984695183637,0.48871636599190255,True,True,4.601851851851848,1.9999999999999991,0.0,500,lloyd,0,5
4020,True,199,200,250,280,1,50,30,81,-1.6583500280653425,2.120101026873897,2.691645069420572,True,True,2.3580246913580245,1.9999999999999996,0.0,500,random_walk,0,5
4021,True,199,220,334,364,21,114,30,165,1.121320482486226,7.2370554680031205,7.3234098254431315,True,True,3.964854606828947,1.5857864376269042,0.0,500,lloyd,0,5
4021,True,199,596,714,744,397,118,30,545,-1.4657828214394044,-1.0461530836133761,1.8008208000744097,True,True,2.1994184004632955,0.0,10.275229357798166,500,random_walk,0,5
4022,True,199,200,363,393,1,163,30,194,7.792122793131625,-2.3284112247257553,8.132568871806146,True,True,0.0978323767022876,0.0,93.29896907216495,500,lloyd,0,5
4022,True,199,377,508,538,178,131,30,339,3.14152040160306,0.5616398473297295,3.191330404674015,True,True,2.023598820058997,0.0,14.15929203539823,500,random_walk,0,5
4023,True,199,321,368,398,122,47,30,199,9.59684595787428,5.278439647532906,10.952688138161117,True,True,2.2763280535370503,0.8299135133739641,0.0,500,lloyd,0,5
4023,True,199,406,539,569,207,133,30,370,9.685341207555382,7.844155737410091,12.463410991358424,True,True,3.0243243243243225,0.9999999999999998,0.0,500,random_walk,0,5
4024,True,199,203,308,338,4,105,30,139,22.72749280036055,8.336235895233443,24.208092818134585,True,True,3.7548844042311815,1.5857864376269053,0.0,500,lloyd,0,5
4024,True,199,200,256,286,1,56,30,87,5.695509819278186,5.011992006528999,7.586757935706451,True,True,4.999999999999996,4.999999999999996,0.0,500,random_walk,0,5
4025,True,199,200,290,320,1,90,30,121,5.230955707103476,0.43182027085219943,5.248749027720538,True,True,1.7272727272727275,0.0,11.570247933884298,500,lloyd,0,5
4025,True,199,200,262,292,1,62,30,93,6.874413508816701,2.3723394061524345,7.272245550597507,True,True,4.7204301075268775,3.0,0.0,500,random_walk,0,5
4026,True,199,362,450,480,163,88,30,281,6.157871700041824,-4.548780089650279,7.655768033200508,True,True,2.002757100842435,0.8299135133739675,0.0,500,lloyd,0,5
4026,True,199,376,430,460,177,54,30,261,20.05987637449323,14.057085767368676,24.49490356035538,True,True,0.7752398663933691,0.5188056959079829,0.0,500,random_walk,0,5
4027,True,199,204,340,370,5,136,30,171,0.6391689393880142,-7.844043595660565,7.870041732017813,True,True,1.9244286777041477,0.8299135133739667,0.0,500,lloyd,0,5
4027,True,199,248,320,350,49,72,30,151,8.231738580076183,5.099772961178445,9.683450020849047,True,True,4.238410596026487,1.9999999999999987,0.0,500,random_walk,0,5
