seed,completed,t_leak,t_first_det,t_consensus,t_reported,patrol_steps,investigate_steps,fuse_steps,total_steps,err_x,err_y,err,in_tolerance_50,in_tolerance_25,lam2_mean,lam2_min,lam2_zero_pct,comm_radius,exploration,n_degraded,robots_alive_end,condition
6000,True,199,369,522,552,170,153,30,353,-14.703813747817776,-4.082529303514576,15.260051908318342,True,True,3.882728131389034,1.0000000000000002,0.0,500,lloyd,0,5,baseline
6001,True,199,279,410,440,80,131,30,241,0.592175249728939,-1.7496997692217633,1.8471926831833823,True,True,2.41987060920314,1.5857864376269046,0.0,500,lloyd,0,5,baseline
6002,True,199,298,465,495,99,167,30,296,3.0773666605141443,7.595916790200192,8.195616965603575,True,True,1.3579553792662393,-4.3549927501688853e-17,15.202702702702704,500,lloyd,0,5,baseline
6003,True,199,468,572,602,269,104,30,403,4.745462860997122,2.1815131154600635,5.222874422961676,True,True,1.845528851371095,-1.3242860820930834e-16,25.806451612903224,500,lloyd,0,5,baseline
6004,True,199,203,336,366,4,133,30,167,-1.7000850567318366,-10.776115603699282,10.90939763251913,True,True,0.07551569432095617,-4.3549927501688853e-17,89.82035928143712,500,lloyd,0,5,baseline
6005,True,199,246,360,390,47,114,30,191,0.5735805848840982,-2.546733042104961,2.610525593650668,True,True,0.4509893740632,0.0,54.45026178010471,500,lloyd,0,5,baseline
6006,True,199,215,355,385,16,140,30,186,-9.975627491641035,-0.914554804897989,10.017462470263935,True,True,4.999999999999995,4.999999999999996,0.0,500,lloyd,0,5,baseline
6007,True,199,217,310,340,18,93,30,141,2.1108746075974523,2.5902184176288756,3.3414103399647783,True,True,4.319148936170209,2.0000000000000004,0.0,500,lloyd,0,5,baseline
6008,True,199,248,336,373,49,88,37,174,8.48552592874887,5.714163391952809,10.230142401619002,True,True,3.3495101079113447,0.6972243622680055,0.0,500,lloyd,0,5,baseline
6009,True,199,321,478,508,122,157,30,309,-3.223644129166047,5.263999312912446,6.172646939348583,True,True,0.561306313313579,-4.3549927501688853e-17,45.954692556634306,500,lloyd,0,5,baseline
6010,True,199,248,349,379,49,101,30,180,8.137450102693379,5.41432871339893,9.774100960730895,True,True,3.193981882662858,1.585786437626904,0.0,500,lloyd,0,5,baseline
6011,True,199,200,392,422,1,192,30,223,0.9786769531291952,12.803816650479632,12.841165422098015,True,True,1.5984793486843,-4.3549927501688853e-17,2.242152466367713,500,lloyd,0,5,baseline
6012,True,199,416,519,549,217,103,30,350,5.641418932091938,-0.45207523009565875,5.65950347477863,True,True,1.2488163207083942,0.0,5.142857142857143,500,lloyd,0,5,baseline
6013,True,199,219,295,325,20,76,30,126,1.3441131982611125,5.915884438116976,6.066657149938038,True,True,1.040331370058395,0.8299135133739646,0.0,500,lloyd,0,5,baseline
6014,True,199,357,473,503,158,116,30,304,-4.160969184191288,0.6125235970318954,4.205811420963903,True,True,2.0498108552974177,0.5188056959079839,0.0,500,lloyd,0,5,baseline
6000,True,199,229,312,342,30,83,30,143,-2.332370558794196,-8.048806371196576,8.379930573969247,True,True,0.6363989554817018,0.0,16.083916083916083,500,lloyd,0,4,drop_R0
6001,True,199,281,355,385,82,74,30,186,-4.376995580187554,-4.8754104953126784,6.551924740622896,True,True,0.7325416234133655,0.585786437626905,0.0,500,lloyd,0,4,drop_R0
6002,True,199,416,542,582,217,126,40,383,7.012112281262262,8.490405341935642,11.0116620687069,True,True,0.35212249349909247,0.0,56.13577023498694,500,lloyd,0,4,drop_R0
6003,True,199,215,307,337,16,92,30,138,-3.7598662031909953,4.5002307453451635,5.864185418900715,True,True,2.4565217391304346,1.0,0.0,500,lloyd,0,4,drop_R0
6004,True,199,519,560,590,320,41,30,391,6.3263693355583825,8.772781678082936,10.815944126205583,True,True,2.0716112531969304,0.9999999999999997,0.0,500,lloyd,0,4,drop_R0
6005,True,199,270,302,332,71,32,30,133,-3.7386722644534984,-3.9357542022544862,5.42842808201027,True,True,1.9022556390977434,0.9999999999999992,0.0,500,lloyd,0,4,drop_R0
6006,True,199,200,325,355,1,125,30,156,-3.835025386517941,5.776496039235781,6.933637299898499,True,True,3.209527509621892,0.585786437626905,0.0,500,lloyd,0,4,drop_R0
6007,True,199,804,945,975,605,141,30,776,3.5368655020198503,-1.1482067247979444,3.7185744933037643,True,True,1.0985163678450762,0.0,15.335051546391753,500,lloyd,0,4,drop_R0
6008,True,199,222,296,344,23,74,48,145,7.039579114402613,-0.1725161087741185,7.041692688247624,True,True,3.4413793103448267,1.0,0.0,500,lloyd,0,4,drop_R0
6009,True,199,232,395,425,33,163,30,226,-2.9114027414614156,-0.44051672408093623,2.9445408652596496,True,True,0.9778761061946901,0.0,49.557522123893804,500,lloyd,0,4,drop_R0
6010,True,199,323,418,467,124,95,49,268,-1.1422078810795142,-1.4215209206496127,1.8235571204227952,True,True,1.0331349214658783,0.5857864376269047,0.0,500,lloyd,0,4,drop_R0
6011,True,199,289,403,433,90,114,30,234,2.7479291845697844,13.57958472449181,13.854827176585843,True,True,2.9145299145299144,2.0,0.0,500,lloyd,0,4,drop_R0
6012,True,199,200,399,429,1,199,30,230,-1.3695330490614879,0.020581456163768053,1.36968769024529,True,True,1.7304347826086957,0.0,11.73913043478261,500,lloyd,0,4,drop_R0
6013,True,199,237,398,438,38,161,40,239,15.351211097455348,23.562494110406902,28.12206981823344,True,False,1.7666247058718119,0.585786437626905,0.0,500,lloyd,0,4,drop_R0
6014,True,199,333,379,409,134,46,30,210,17.821560108468475,1.1921406915958528,17.861388639417527,True,True,1.4087889098449966,0.5857864376269047,0.0,500,lloyd,0,4,drop_R0
6000,True,199,204,303,333,5,99,30,134,-1.5968935195127187,-9.061046813907808,9.200686837214413,True,True,0.18656716417910452,3.435041992611059e-17,81.34328358208955,500,lloyd,0,4,drop_R1
6001,True,199,442,549,579,243,107,30,380,-10.082916840879648,-4.700505693816069,11.12474565092127,True,True,1.0542959674522445,0.0,17.36842105263158,500,lloyd,0,4,drop_R1
6002,True,199,524,639,669,325,115,30,470,5.737322093556827,7.401370312946639,9.364675505033965,True,True,0.8956409080100445,0.0,22.340425531914892,500,lloyd,0,4,drop_R1
6003,True,199,275,371,405,76,96,34,206,7.76632407624794,8.569187820388663,11.564893841207788,True,True,0.7297027142372239,0.0,15.048543689320388,500,lloyd,0,4,drop_R1
6004,True,199,542,734,764,343,192,30,565,-6.284242637932607,-1.7336302340123666,6.518986065385625,True,True,1.403192992047976,3.435041992611059e-17,27.256637168141594,500,lloyd,0,4,drop_R1
6005,True,199,287,317,347,88,30,30,148,-2.4732262576858375,-4.451602266529221,5.092505361909282,True,True,1.1465289966284813,0.585786437626905,0.0,500,lloyd,0,4,drop_R1
6006,True,199,200,314,354,1,114,40,155,1.1622077828460533,6.79718971280775,6.895833156508895,True,True,1.8590927713963483,0.585786437626905,0.0,500,lloyd,0,4,drop_R1
6007,True,199,317,363,393,118,46,30,194,-1.1878078079299712,4.127450619563433,4.294966356738312,True,True,0.711340206185567,3.9250536344271737e-17,48.96907216494845,500,lloyd,0,4,drop_R1
6008,True,199,242,272,302,43,30,30,103,1.314349932443804,3.596822515170004,3.82944486192828,True,True,2.9514563106796117,2.0,0.0,500,lloyd,0,4,drop_R1
6009,True,199,207,361,406,8,154,45,207,18.63135088976958,7.208308239509705,19.977160550325994,True,True,0.5488069100499035,3.435041992611059e-17,36.71497584541063,500,lloyd,0,4,drop_R1
6010,True,199,496,613,649,297,117,36,450,-0.9058723663610522,0.650296473275489,1.1151189386299163,True,True,1.061983005025945,0.0,18.22222222222222,500,lloyd,0,4,drop_R1
6011,True,199,236,271,301,37,35,30,102,3.8093927780708157,13.909125083964483,14.421346467614876,True,True,0.1780331330042555,0.0,69.6078431372549,500,lloyd,0,4,drop_R1
6012,True,199,200,374,404,1,174,30,205,6.04279719753788,5.668418864112255,8.285310518598282,True,True,2.8780487804878048,1.0,0.0,500,lloyd,0,4,drop_R1
6013,True,199,608,701,740,409,93,39,541,4.752956368794031,7.464313777830739,8.849100203838441,True,True,1.8009270151389367,0.0,6.654343807763401,500,lloyd,0,4,drop_R1
6014,True,199,250,332,362,51,82,30,163,2.274638759073241,-9.529415686677282,9.797129417016462,True,True,2.226993865030674,1.0000000000000002,0.0,500,lloyd,0,4,drop_R1
6000,True,199,258,296,326,59,38,30,127,3.0685836953153967,-10.758385983178584,11.187451669536228,True,True,0.38912806453745236,0.0,38.58267716535433,500,lloyd,0,4,drop_R2
6001,True,199,471,550,580,272,79,30,381,6.838358971013918,-4.81639553075081,8.36425844442189,True,True,1.2129847408336332,0.0,15.485564304461942,500,lloyd,0,4,drop_R2
6002,True,199,216,292,340,17,76,48,141,7.789945790104497,-1.2412734706090305,7.888220029994382,True,True,0.679792352491721,0.585786437626905,0.0,500,lloyd,0,4,drop_R2
6003,True,199,200,223,253,1,23,30,54,2.3348465053363157,4.594834110889508,5.154028396320201,True,True,2.0,2.0,0.0,500,lloyd,0,4,drop_R2
6004,True,199,211,371,415,12,160,44,216,34.1122127526576,8.931571884666766,35.26210480407466,True,False,3.1944444444444446,2.0,0.0,500,lloyd,0,4,drop_R2
6005,True,199,224,287,317,25,63,30,118,5.983943120106687,-15.141892211617005,16.28141501875374,True,True,1.1694915254237286,1.0,0.0,500,lloyd,0,4,drop_R2
6006,True,199,235,484,514,36,249,30,315,-12.961368078733585,-4.144538728570467,13.607875063544434,True,True,1.4095238095238096,0.9999999999999992,0.0,500,lloyd,0,4,drop_R2
6007,True,199,218,290,320,19,72,30,121,-1.4836519850261993,-1.7142521919423643,2.267131180644689,True,True,2.090909090909091,1.0,0.0,500,lloyd,0,4,drop_R2
6008,True,199,519,554,584,320,35,30,385,7.298234482678538,1.759980438941568,7.507446816968804,True,True,1.2823282929059268,0.0,1.5584415584415585,500,lloyd,0,4,drop_R2
6009,True,199,200,299,329,1,99,30,130,-3.93367070612922,2.269811986812414,4.541564893264928,True,True,0.6049039866595096,0.5857864376269052,0.0,500,lloyd,0,4,drop_R2
