# Simulation started at Sat Jun 27 23:07:37 2026
[t=    0] INIT               5 robots, map 900x600, obstacles=off, sources=1
[t=    0] MODE               entered Hazard Localisation
[t=  199] PHASE              MONITOR → LEAK
[t=  199] LEAK_START         new leak at (482, 382)
[t=  200] DETECT             0/3 located the leak  λ₂=0.00
[t=  240] DETECT             0/3 located the leak  λ₂=0.00
[t=  280] DETECT             1/3 located the leak  λ₂=0.00
[t=  300] DETECT             1/3 located the leak  λ₂=0.00
[t=  360] DETECT             1/3 located the leak  λ₂=0.00
[t=  420] DETECT             1/3 located the leak  λ₂=0.00
[t=  480] DETECT             1/3 located the leak  λ₂=0.00
[t=  540] DETECT             1/3 located the leak  λ₂=0.00
[t=  600] DETECT             1/3 located the leak  λ₂=0.00
[t=  660] DETECT             1/3 located the leak  λ₂=0.00
[t=  667] DETECT             2/3 located the leak  λ₂=0.00
[t=  720] DETECT             2/3 located the leak  λ₂=0.00
[t=  780] DETECT             2/3 located the leak  λ₂=0.00
[t=  840] DETECT             2/3 located the leak  λ₂=0.00
[t=  900] DETECT             2/3 located the leak  λ₂=0.00
[t=  904] DETECT             3/3 located the leak  λ₂=0.00
[t=  904] PHASE              LEAK → CONSENSUS
[t=  910] CONSENSUS          σ=22.2px  obs=3H/3T  stable=6/30  λ₂=0.000
[t=  920] CONSENSUS          σ=25.2px  obs=3H/3T  stable=12/30  λ₂=0.000
[t=  930] CONSENSUS          σ=25.3px  obs=3H/3T  stable=2/30  λ₂=0.000
[t=  940] CONSENSUS          σ=25.4px  obs=3H/3T  stable=0/30  λ₂=0.000
[t=  950] CONSENSUS          σ=25.5px  obs=3H/3T  stable=0/30  λ₂=0.000
[t=  960] CONSENSUS          σ=25.7px  obs=3H/3T  stable=0/30  λ₂=0.000
[t=  970] CONSENSUS          σ=25.7px  obs=3H/3T  stable=0/30  λ₂=0.000
[t=  980] CONSENSUS          σ=25.5px  obs=3H/3T  stable=0/30  λ₂=0.000
[t=  990] CONSENSUS          σ=25.5px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1000] CONSENSUS          σ=27.0px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1010] CONSENSUS          σ=26.9px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1020] CONSENSUS          σ=27.1px  obs=3H/3T  stable=0/30  λ₂=-0.000
[t= 1030] CONSENSUS          σ=26.3px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1040] CONSENSUS          σ=26.3px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1050] CONSENSUS          σ=26.2px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1060] CONSENSUS          σ=25.4px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1070] CONSENSUS          σ=25.9px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1080] CONSENSUS          σ=25.9px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1090] CONSENSUS          σ=23.7px  obs=4H/4T  stable=10/30  λ₂=0.000
[t= 1100] CONSENSUS          σ=23.2px  obs=4H/4T  stable=20/30  λ₂=0.000
[t= 1110] CONSENSUS          σ=23.0px  obs=4H/4T  stable=30/30  λ₂=0.000
[t= 1110] REPORTED           agreed (479, 385) err=5.2px
[t= 1110] PHASE              CONSENSUS → REPORTED
