# Simulation started at Sat Jun 27 23:23:22 2026
[t=    0] INIT               5 robots, map 900x600, obstacles=off, sources=1
[t=    0] MODE               entered Hazard Localisation
[t=  199] PHASE              MONITOR → LEAK
[t=  199] LEAK_START         new leak at (164, 393)
[t=  200] DETECT             0/3 located the leak  λ₂=0.00
[t=  240] DETECT             0/3 located the leak  λ₂=0.00
[t=  300] DETECT             0/3 located the leak  λ₂=0.00
[t=  323] DETECT             1/3 located the leak  λ₂=0.00
[t=  360] DETECT             1/3 located the leak  λ₂=0.00
[t=  420] DETECT             1/3 located the leak  λ₂=0.00
[t=  480] DETECT             1/3 located the leak  λ₂=0.00
[t=  499] DETECT             2/3 located the leak  λ₂=0.00
[t=  540] DETECT             2/3 located the leak  λ₂=0.00
[t=  600] DETECT             2/3 located the leak  λ₂=0.00
[t=  660] DETECT             2/3 located the leak  λ₂=0.00
[t=  720] DETECT             2/3 located the leak  λ₂=0.00
[t=  780] DETECT             2/3 located the leak  λ₂=0.00
[t=  840] DETECT             2/3 located the leak  λ₂=0.00
[t=  900] DETECT             2/3 located the leak  λ₂=0.00
[t=  960] DETECT             2/3 located the leak  λ₂=0.00
[t= 1020] DETECT             2/3 located the leak  λ₂=0.00
[t= 1080] DETECT             2/3 located the leak  λ₂=0.00
[t= 1140] DETECT             2/3 located the leak  λ₂=0.00
[t= 1200] DETECT             2/3 located the leak  λ₂=0.00
[t= 1260] DETECT             2/3 located the leak  λ₂=0.00
[t= 1320] DETECT             2/3 located the leak  λ₂=0.00
[t= 1380] DETECT             2/3 located the leak  λ₂=0.00
[t= 1440] DETECT             2/3 located the leak  λ₂=0.00
[t= 1500] DETECT             2/3 located the leak  λ₂=0.00
[t= 1560] DETECT             2/3 located the leak  λ₂=0.00
[t= 1592] DETECT             3/3 located the leak  λ₂=0.00
[t= 1592] PHASE              LEAK → CONSENSUS
[t= 1600] CONSENSUS          σ=23.9px  obs=3H/3T  stable=2/30  λ₂=0.000
[t= 1610] CONSENSUS          σ=23.9px  obs=3H/3T  stable=12/30  λ₂=0.000
[t= 1620] CONSENSUS          σ=27.2px  obs=3H/3T  stable=6/30  λ₂=0.000
[t= 1630] CONSENSUS          σ=27.8px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1640] CONSENSUS          σ=28.4px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1650] CONSENSUS          σ=28.6px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1660] CONSENSUS          σ=28.4px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1670] CONSENSUS          σ=28.3px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1680] CONSENSUS          σ=28.2px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1690] CONSENSUS          σ=27.9px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1700] CONSENSUS          σ=28.7px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1710] CONSENSUS          σ=27.8px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1720] CONSENSUS          σ=28.3px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1730] CONSENSUS          σ=28.3px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1740] CONSENSUS          σ=28.6px  obs=3H/3T  stable=0/30  λ₂=0.000
[t= 1750] CONSENSUS          σ=28.7px  obs=3H/3T  stable=0/30  λ₂=1.000
[t= 1760] CONSENSUS          σ=28.3px  obs=3H/3T  stable=0/30  λ₂=3.000
[t= 1770] CONSENSUS          σ=28.0px  obs=3H/3T  stable=0/30  λ₂=5.000
[t= 1780] CONSENSUS          σ=28.2px  obs=3H/3T  stable=0/30  λ₂=5.000
[t= 1790] CONSENSUS          σ=28.3px  obs=3H/3T  stable=0/30  λ₂=5.000
[t= 1800] CONSENSUS          σ=28.3px  obs=3H/3T  stable=0/30  λ₂=5.000
[t= 1810] CONSENSUS          σ=28.0px  obs=3H/3T  stable=0/30  λ₂=5.000
[t= 1820] CONSENSUS          σ=28.4px  obs=3H/3T  stable=0/30  λ₂=5.000
[t= 1830] CONSENSUS          σ=28.8px  obs=3H/3T  stable=0/30  λ₂=5.000
[t= 1840] CONSENSUS          σ=28.2px  obs=3H/3T  stable=0/30  λ₂=5.000
[t= 1850] CONSENSUS          σ=23.9px  obs=4H/4T  stable=4/30  λ₂=5.000
[t= 1860] CONSENSUS          σ=24.0px  obs=4H/4T  stable=14/30  λ₂=5.000
[t= 1870] CONSENSUS          σ=23.7px  obs=4H/4T  stable=24/30  λ₂=5.000
[t= 1876] REPORTED           agreed (224, 394) err=60.4px
[t= 1876] PHASE              CONSENSUS → REPORTED
